Category,News,Cluster
sports,Sports news: Qatar 2022: Women Referees to Feature for First Time in Men's World Cup. Women referees will make World Cup history this year by officiating games at a major men's tournament for the first,
business,Qatar Airways Launches First Direct Flight To Kano. Qatar Airways has launched its first direct flight from Doha in Qatar to Kano in Nigeria. Speaking at the event,
health,Raging Pandemic in Indonesia Offers Fertile Ground for New Variants. The speed and scale of the coronavirus outbreak in Indonesia has created a perfect breeding ground for a potential new,
sports,Sports news: Rashford Winner Helps Man United Beat PSG 2-1. Marcus Rashford repeated his late heroics against Paris St-Germain with a superb winner as Manchester United marked their return to,
sports,Sports news: Real Beat Inter in Five-goal Thriller. Rodrygo's late strike gave Real Madrid victory over Inter Milan - their first Champions League win of the season. Real,
sports,"Sports news: Real Madrid Beat Barcelona to Take La Liga Lead Over Atletico. Real Madrid beat rivals Barcelona 2-1 at home in an entertaining, rain-soaked Clasico on Saturday to go top of La",
health,"Reconstruct  Nigerian Drainages with Proper Sewer Systems to Combat Malaria, Generate Electricity â€“ Francis Nwapa. A pest control specialist and malaria advocate, Mr Francis Nwapa has called on the government at all levels to reconstruct",
business,Report: Growing Inflation Eroding Purchasing Power of Nigerians. Most Nigerians are no longer able to afford major expenditure on discretionary or non-essential goods and services as inflation has,
business,Report: Nigeria Is Africa's Third Most Attractive Destination for Foreign Investment. The Absa Africa Financial Markets Index 2021 (AAFMI) has ranked Nigeria as the third most attractive country in Africa for,
business,"Report: Nigeria will Require $100bn in 20 Years to Fix Power Supply Challenges. A new report by Financial Derivatives Company (FDC) Limited, a research firm which provides insights for investment decisions, has disclosed",
business,"Report: Nigeria's CEOs Highest Paid in Africa. CEOs of Nigerian-listed companies are among sub-Saharan Africa's highest earners, a new report by Price Waterhouse Coopers (PwC) has indicated.",
business,"Resilient Zenith Bank Beats Market Expectations with Double-Digit Growth in Gross Earnings in 2021. Zenith Bank Plc has announced an impressive result for the year ended December 31, 2021 as it recorded a double-digit",
business,"Restricting Cryptocurrency Trading in Nigerians' Best Interest, Says Emefiele. Central Bank of Nigeria Governor, Mr. Godwin Emefiele, has said that the CBN acted in the nation's best interest by",
health,"Retired Doctors, More Syringes: Biden Unveils US Vaccination Plan to Improve on Trump's 'Dismal Failure'. US President-elect Joe Biden on Friday said he would order increased production of syringes and other supplies to ramp up",
health,"Revolutionary New Treatment Signals Hope for Sickle Cell Sufferers. A major breakthrough has been made in healthcare, giving hope to millions of Sickle Cell Disease (SCD) sufferers across the",
business,"Rio Tinto to Pay Big Dividends after Posting Record Profits. Rio Tinto, the world's biggest producer of iron ore, has rewarded investors with the biggest dividend in its history after",
business,"Rising Oil Prices May Derail Nigeria's Economic Reforms, Report Says. The Financial Derivatives Company (FDC) has warned that the rising crude oil prices, which could go above $100 per barrel,",
sports,"Sports news: Rohr Targets Fulham Defender Adarabioyo for Super Eagles. Following the below par performance of his wards in the last AFCON 2022 qualifying matches against Sierra Leone last month,",
sports,"Sports news: Rohr Targets Six Points against Leone Stars as Super Eagles Undergo Covid Test. Ahead of the AFCON 2022 qualifier against Sierra Leone on Friday in Benin City, all Super Eagles' players and officials",
health,"Russia and China Come Together on Covid. When Russia's Sputnik V vaccine is unloaded in countries around the world, hundreds of millions of doses will come with",
health,"Russia Registers First Case of Bird Flu in Humans. Russia has detected its first case of transmission of bird flu virus from animals to humans, according to health authorities.",
business,Russia Resumes Nord Stream Natural Gas Supply to Europe. The resumption of the Nord Stream 1 pipeline at reduced capacity followed a 10-day maintenance breakRead more,
business,"S And P Global  Revises Nigeria's Sovereign Credit Rating To Positive From Negative. Global leading rating agency, Standard & Poor's has affirmed Nigeria's sovereign credit rating at B+ and revised its outlook from",
business,"S&P Ratings: Nigeria, South Africa, Egypt at Risk of Three-year Banking System Depression. The effects of the Covid-19 pandemic on banking systems around the world will last for some time. For Africa, six",
sports,"Sports news: S/Eagles Drop Points Again, Draw Against Sierra Leone. The Leone Stars of Sierra Leone on Tuesday ensured Nigeria's Super Eagles dropped back-to-back points after the two countries played",
sports,"Sports news: S/Eagles To Play Next AFCON 2022 QuaIifier at 'Brand New' Stadium in Benin. Nigeria's Super Eagles' 2022 Africa Cup of Nations qualifier against Sierra Leone scheduled for next month, is to be played",
health,"Schools Not Drivers of Covid-19, UNICEF Says. The United Nations Children's Fund (UNICEF) has kicked against the prolonged closure of schools, stressing that schools are not the",
health,Schwarzenegger Feeling 'Fantastic' After Heart Surgery. Arnold Schwarzenegger says he is feeling â€œfantastic'' after his recent heart surgery. The 73-year-old 'Terminator' actor and former California governor,
health,Scientists Question Evidence Behind US Covid Booster Shot Drive. The Biden administration's plan to provide Covid-19 vaccine boosters is based on concerns that a decrease in the vaccines' ability,
health,Senegal Begins Vaccinating Against Coronavirus. Authorities in Senegal have said fighting misinformation and Covid-19 vaccination reluctance will be key in the campaign launched on Tuesday.,
sports,Sports news: Senegal's Teranga Lions First Team to Book AFCON 2022 Ticket. The Teranga Lions of Senegal became the first team to qualify for the 2022 Africa Cup of Nations with two,
business,"Seplat's Energy Transition Plan for National Growth Gets Nigeria Government's Endorsement. Seplat, Nigeria's foremost indigenous oil & gas company has disclosed its readiness to champion the quest to improve Africa's energy",
sports,Sports news: Serena Williams Out of Wimbledon After Slipping on Centre Court and Injuring Leg. Serena Williams retired from her first-round match at Wimbledon on Tuesday against Aliaksandra Sasnovich with a left leg injury. Holding,
sports,"Sports news: Serie A: Sampdoria Defeat Inter Milan, End Conte's Men Winning Streak. Alexis Sanchez had a penalty saved as Inter Milan's attempt to keep pace with Serie A leaders AC Milan suffered",
sports,"Sports news: Seven-Star Falconets Wallop CAR's U20 Girls 7-0, Make Return Leg a Formality. Two-time runners-up of the FIFA U20 Women's World Cup, Nigeria's Falconets fired from all cylinders as they hit the U20",
health,"Shanghai Fences Up Covid-Hit Areas, Fuelling Fresh Outcry. Shanghai authorities battling an outbreak of COVID-19 have erected fences outside residential buildings, sparking fresh public outcry over a lockdown",
health,Shanghai to Start Testing 'High-risk' Cold Storage Food Imports for Coronavirus. Shanghai city government said all imports of what it called â€œhigh-riskâ€ imported cold-storage food will need to be tested for,
business,"Shareholders ApproveÂ GTBank's Planned HoldCo Structure. Shareholders of Guaranty Trust Bank Plc (GTBank) last Friday approved a holding company (HoldCo) structure for the bank, even as",
business,"Shell Pledges To Surprise Investors with $7bn Payout On Shale Deal. Barely two months after raising dividends by almost 40 percent and starting a $2 billion share buyback, Shell has again",
business,"Shell Rattled By Bank Accounts Â Restrictions, as Aiteo Seeks $4bn for '16 Million Barrels of Crude Diverted'. There are strong indications that Tuesday's injunction of a Federal High Court, Lagos, barring Royal Dutch Shell's Nigerian subsidiary from",
sports,"Sports news: Sierra Leone International Alhassan Kamara Told to 'Retire or Face Wheelchair'. A knee injury has forced Sierra Leone international Alhassan Kamara into retirement aged just 28, ending his hopes of playing",
sports,"Sports news: Simone Biles will not defend her Olympic gold medal on floor exercise.. USA Gymnastics announced Sunday that the six-time Olympic medalist has opted not to compete on floor, where she won gold",
health,"Single-dose Johnson & Johnson Vaccine 66% Effective Against Covid-19, Drops Against SA Variant. Johnson & Johnson has said that its single-dose vaccine is 66% effective in preventing Covid-19 in a large global trial",
health,South Africa Toughens Restrictions to Combat Delta Variant. South African President Cyril Ramaphosa has reimposed restrictions for two weeks to combat a surge in the highly contagious,
business,South Africa's Aspen agrees with J&J to Manufacture COVID-19 Vaccine. South African pharmaceutical company Aspen Pharmacare said on Monday it had entered into a preliminary agreement with Johnson & Johnson,
business,South Africa's Economy is $37bn Bigger Than Previously Thought. South Africa's economy is 11% bigger than previously estimated after statistics authorities changed the way they calculate the gross domestic,
business,"South Africa's Jobless Rate Hits Record High in Q4 2020. South Africa's unemployment rate jumped to a record high in the fourth quarter of last year, the statistics agency said",
health,South African Scientists Discover New Coronavirus Variant with Multiple Mutations. South African scientists have detected a new coronavirus variant with multiple mutations but are yet to establish whether it is,
business,"South Korea's Antitrust Regulator To Fine Google $177m Over Improper Mobile Market Dominance. South Korea's competition regulator has vowed to fine Google the U.S. tech giant, $176.9 million (207.4b Korean won) for allegedly",
sports,"Sports news: Southampton Top Premier League for First Time after Newcastle Win. Southampton manager Ralph Hasenhuttl told his side to believe ""anything is possible"" after they went top of the Premier League",
business,"SpaceX Launches 4 Amateurs on Private Earth-circling Trip. SpaceX's first private flight streaked into orbit Wednesday night with two contest winners, a health care worker and their rich",
sports,Sports news: Spain Held to 1-1 Draw By Greece in World Cup Qualifying. Spain were left frustrated after they were held to a 1-1 draw by Greece in their opening 2022 World Cup,
sports,Sports news: Spurs Announce Expected Â£150m Loss in Covid-19 Year. Tottenham have suffered a loss of Â£64million as Chairman Daniel Levy has admitted the club face 'challenging times' in the,
business,"Standard Chartered Bank Collaborates With Access Bank on $500m Senior Eurobond. Access Bank Plc has launched it's $500 million Senior Unsecured Eurobond. Standard Chartered Bank is collaborating with the bank, acting",
business,Standard Chartered to Shutdown 50% of its Nigerian Branches. Standard Chartered is closing about half its Nigerian branches as it moves to expand its digital banking. People familiar with,
sports,Sports news: Stoke City Boss Hails 'Excellent' Mikel. Stoke City Manager Michael O'Neill has showered praises on John Obi Mikel for his performance in their 1-0 victory over,
sports,Sports news: Sunday's Chelsea-Man City Match to Go Ahead After Guardiola's Squad Return to Training. Chelsea's PremierÂ  League game against Manchester City on Sunday looks set to go ahead after City confirmed they are to,
health,Super Eagles All Test Negative for Covid-19 Ahead of Sierra Leone Match. Nigeria's Super Eagles players have all been given medical clearance to Play in Friday's AFCON qualifier against the Leone Stars,
sports,"Sports news: Super Eagles Bounce Back, Beat CAR 2-0 in Douala to Avenge Shock Home Loss. Nigeria's Super Eagles responded to their shocking home defeat last Thursday to beat Central African Republic 2-0 in Douala, and",
sports,"Sports news: Super Eagles Host Lesotho Tuesday, First Competitive Game in Lagos in 20 Years. When Nigeria's Super Eagles host Lesotho's Crocodiles at the Teslim Balogun Stadium in Lagos on Tuesday, it will be the",
sports,"Sports news: Super Eagles Manager Rohr Confident of Qatar 2022. Before Gernot Rohr was appointed head coach of Nigeria, the team were at a low ebb, having failed to qualify",
business,"Swiss Bank UBS Posts Blockbuster Profits in Q3 2020. The world's largest wealth manager, UBS on Tuesday posted a blockbuster 99% jump in third-quarter profit on heavy turnover in",
business,"Swiss Firm Which Paid Bribes to NNPC Officials for Crude Contracts Fined $1.1bn in US. Glencore, a mining and commodities trading firm has agreed to pay over $1.1 billion for various infractions, including paying bribes",
sports,"Sports news: Talks to Agree Joshua-Fury Superfight Could 'Take Just Two Days'. Talks to agree a bout between Anthony Joshua and Tyson Fury for 2021 could take just ""a couple of days""",
sports,Sports news: Ten-man World Champions France Held to Disappointing Draw by Bosnia. World champions France were held to a disappointing 1-1 home draw by Bosnia and Herzegovina after playing almost half the,
business,"Tesla Loses Third of Its Value for the Third Time in A Year. Tesla Inc's stock extended losses on Monday and is now down by a third from its January record high, making",
business,Tesla Shares Jump to Record High Ahead of S&P 500 Debut. Shares of Tesla Inc rose to a record high on Friday in a frantic day of trading as investors geared,
business,Tesla Starts Delivery of Shanghai-made Model Y SUVs in China. Tesla Inc said on Monday it has started delivering its Shanghai-made Model Y sports utility vehicles to customers in China.,
business,"Tesla's Vehicle Price Increases Due to Supply Chain Pressure, Musk Says. The price of Tesla (TSLA.O) vehicles is increasing due to supply chain pressures across the auto industry, particularly for raw",
sports,Sports news: Thiago Sets Premier League Passing Record on Liverpool Debut after Â£20m Move. Liverpool's new signing Thiago Alcantara set a Premier League record on his Liverpool debut as he out-passed every single Chelsea,
sports,"Sports news: Tokyo 2020: Oburududu Claims Silver, Becomes Nigeria's First Olympics Wrestling Medallist. United States' Tamyra Mensah-Stock won gold in the women's freestyle 68kg wrestling final, defeating Nigeria's Blessing Oborududu by a score",
sports,Sports news: Tokyo Olympics: Algerian Judoka Withdraws Over Potential Meeting with Israeli. Algerian judoka Fethi Nourine has withdrawn from Tokyo 2020 after the draw set him on course for a potential meeting,
sports,"Sports news: Tokyo Olympics: Japan Holds Gymnastics Test Event with Fans. Tokyo has hosted its first international sporting event since the coronavirus pandemic, seen as a major trial ahead of next",
sports,"Sports news: Toothless Madrid Miss Chance to Top La Liga With Draw Against Betis. On a rainy night in Madrid, a toothless Real Madrid dropped two points at home to Real Betis, who were",
business,"Toriola to Resume as CEO of MTN Nigeria March 2021. MTN Group has appointed Mr. Karl Toriola, a Nigerian from Osun State, as MTN Nigeria Chief Executive Officer (CEO)Â designate,Â with effect",
business,"TotalEnergies Invests Almost $30bn in Nigeria Within Eight Years, Government Says. Nigeria's federal government has disclosed that French oil major, TotalEnergies EP Nigeria Limited, has invested almost $30 billion in Nigeria's",
business,"TotalEnergies Moves to Connect New 50,000 Barrels Per Day Oilfield to Deepwater Storage. Multinational oil and gas company, TotalEnergies, has said its effort to increase oil production in Nigeria would materialise this year,",
sports,"Sports news: Tottenham 0-1 Chelsea: Jorginho Penalty Settles London Derby as Spurs Crash to Third Straight Defeat. Thomas Tuchel claimed a valuable second successive win as Chelsea boss in Thursday's London derby against Tottenham, who crashed to",
sports,Sports news: Tottenham Confirms Ryan Mason as Interim Head Coach With Julian Nagelsmann Targeted as Mourinho's Successor. Ryan Mason will lead boyhood club Tottenham out at Wembley on Sunday after being named interim head coach until the,
business,"Toyota Posts 54% Rise in Third-quarter Operating Profit, Hikes Full-year Forecast. Japan's Toyota Motor Corp on Wednesday reported a bigger-than-expected 54% jump in third-quarter profit and jacked up its full-year earnings",
business,"Twitter Adopts 'Poison Pill' Plan to Block Elon Musk From Increasing Stake. Twitter Inc. moved to prevent Elon Musk from significantly increasing his stake, a day after he unveiled a $43 billion",
health,Twitter Flags Trump Tweet That Claims He's Immune to COVID-19. Twitter on Sunday flagged a tweet by Donald Trump in which the US President claimed he was immune to the,
business,"Twitter, Other ICT Players Contributed 14.91% to Nigeria's GDP, Civil Society Group Reminds FG. A leading civil society organization, Centre for Social Justice (CSJ) has reminded the federal government that Twitter and other social",
business,"Twitter's Dorsey Leads $29bn Buyout of Lending Pioneer Afterpay. Square Inc, the payments firm of Twitter Inc co-founder Jack Dorsey, will purchase buy now, pay later (BNPL) pioneer Afterpay",
sports,Sports news: Two Own Goals Help Germany to 4-2 Win Against Portugal. Robin Gosens and Kai Havertz created havoc against Portugal on Saturday as Germany beat Fernando Santos' side 4-2 in their,
business,"UBA Launches Dubai Branch as Part of EMEA Expansion. The UBA Group will now be able to harness opportunities in the Middle East, Africa and South Asia.Read more",
business,UBA Wins 'African Bank of the Year' Award. The United Bank for Africa (UBA) Plc has disclosed that it has been globally recognised as the African Bank of,
business,"Uber Posts Better Than Expected Loss of $6.8bn in 2020. Uber, the ride hailing app based taxi posted a loss of about 6.8 billion dollars last year. This is better",
sports,Sports news: UEFA Abolishes 56-year Old Away Goals Rule in Major Shake-up of Club Competitions. UEFA on Thursday abolished away goals rule in European tournament knockout ties and will take effect from the 2021-22 season.,
sports,"Sports news: UEFA Investigating Official Accused of Racism in PSG, Basaksehir Clash. UEFA has started a disciplinary investigation after a match official was accused of using a racist term in the Champions",
sports,"Sports news: Uefa Opens Proceedings against Barcelona, Juventus and Real Madrid Over European Super League Plan. Uefa has opened disciplinary proceedings against Barcelona, Juventus and Real Madrid over their involvement in the proposed European Super League.",
sports,Sports news: UEFA Slashes Champions League Prize Money after $666m Loss. Champions League and Europa League prize money will be cut over the next five seasons as Europe's soccer governing body,
sports,Sports news: UFC 263: Israel Adesanya Retains Title With Decisive Performance Against Marvin Vettori. Israel Adesanya got back to his winning ways on Sunday with an outstanding five-round showing in the UFC 263 main,
business,"UK Bans Binance in Latest Cryptocurrency Crackdown. Britain's financial regulator has ordered Binance, one of the world's largest cryptocurrency exchanges, to stop all regulated activity and issued",
business,"UK Economy Expands 15.5% in Q3 2020. The UK economy expanded the most on record in the third quarter, a rebound that's since been undermined by an",
health,"UK Firm Targets 70 Million Nigerians in $500m Medical, Hospitality Investment. A United Kingdom (UK) based firm, HP Kapital Limited and the FHT Ventures Plc on Tuesday in Abuja, unveiled a",
health,UK First Country to Approve Pfizer/BioNTech Covid Vaccine for Mass Roll Out. The UK has become the first country in the world to approve the Pfizer/BioNTech coronavirus vaccine for widespread use. British,
health,UK Lab Suspended after False Negative Covid Tests. A COVID-19 testing laboratory in central England has been suspended over concern that it has been incorrectly giving negative PCR,
business,UK Retailers Warn of Pre-Christmas Price Rises. British retailers warned on Wednesday of pre-Christmas price rises after they reported the smallest year-on-year decline in the average selling,
health,"UK Says More Than 25 Million People Have Had First Covid-19 Vaccine Shot. More than 25 million people in the UK have now received a first Covid-19 vaccination, 100 days after the first",
health,"UK Secures Two Million More Doses of Moderna's Covid-19 Vaccine. Britain has secured two million doses of Moderna Inc's COVID-19 vaccine candidate, to be available in Europe as early as",
health,"UK to Make Vaccines Available for All Over-40s By Easter, Report Says. People over 40 in the UK will be offered their first coronavirus vaccination by Easter on April 4 as a",
business,UK Unemployment Rate Rises to 5.1% in Q4 2020 on Covid-induced Lockdown. The unemployment rate in the UK increased to 5.1% in the three months to December of 2020 from 5% in,
health,"UK Veteran Captain Sir Tom Moore Dies Aged 100 After Contracting Covid-19 and Pneumonia. British Second World War veteran Captain Sir Tom Moore, who inspired the nation in lockdown by raising millions for the",
health,"UNICEF: Over 50% of Nigerian Children under Five Unregistered. United Nations Children's Fund (UNICEF) has decried low birth registration in the country, stating that more than 50% of the",
sports,Sports news: Unique Euro 2020 Set to Begin: All You Need to Know About Delayed Tournament. Euro 2020 gets underway on Friday - and what was already going to be a unique tournament will be notable,
health,Unvaccinated Man Denied Heart Transplant by Boston Hospital. A US hospital has rejected a patient for a heart transplant at least in part because he is not vaccinated,
sports,"Sports news: Unvaccinated Players Unable to Compete at Australian Open 2022 Grand Slam. Unvaccinated players will not be allowed to compete at the 2022 Australian Open, says tournament director Craig Tiley. There had",
health,US Backs WTO's Push for Covid Vaccine Patent Waivers. The US has thrown its support behind an initiative at the World Trade Organization (WTO) to waive intellectual property protections,
health,US Donates Another Batch of 3.2 million Covid Vaccines to Nigeria. The United States has delivered another batch of 3.2 million Pfizer COVID-19 vaccines to Nigeria. This is the latest donation,
business,"US FAA in Final Stages of Boeing 737 MAX Review, Could Approve November 18. The US Federal Aviation Administration is in the final stages of reviewing proposed changes to Boeing Co's 737 MAX and",
business,"US Federal Reserve Keeps Interest Rate Unchanged, Signals Readiness to Boost   Economy. The US Federal Reserve kept its benchmark interest rate at a record low near zero and signalled its readiness to",
business,US Futures Slip as Markets Weigh Fresh Issues on Relief Stimulus. Stock futures wobbled and commodities fell on Wednesday after US President Donald Trump threw a last-minute spanner into pandemic relief,
health,"US Hits Biden's Goal of Administering 100 Million Covid-19 Shots. The US has cleared President Joe Biden's goal of injecting 100 million coronavirus shots, more than a month before his",
health,"US MasterChef Junior Star Dies Aged 14 from Rare Cancer. MasterChef Junior star Ben Watkins has died aged 14 from a rare form of cancer, his family has confirmed. The",
business,"US Most Interested in Cryptocurrency, Nigeria First in Africa,Â Â Eighth in theÂ World: Study. Nigeria ranks eighth in a list of countries most interested in cryptocurrency in the world, according to a new study.",
health,US Preparing for 1-year Covid-19 Booster Shots; Pfizer Chief Sees Need. The United States is preparing for the possibility that a booster shot will be needed between nine to 12 months,
sports,Sports news: US Rapper J Cole Set to Play Against Nigeria in Basketball Africa League. American rapper J Cole is set to play professional basketball for Rwandan side Patriots BBC. The team will play Nigeria's,
business,"US Sells a Million Barrels of Iranian Oil Seized Under Sanctions. The United States has sold more than a million barrels of Iranian fuel seized under its sanctions programme last year,",
health,"USÂ Authorizes Pfizer Covid-19 Vaccine forÂ EmergencyÂ Use. The US Food and Drug Administration said it authorized the use of Pfizer Inc's COVID-19 vaccine on Friday, with the",
health,"USAID Launches $9.5m Aid to Fight Malnutrition in Bauchi, Kevin  Sokoto. The US Agency for International Development (USAID) has launched its two-year $9.5 million Advancing Nutrition Activity to improve the nutritional",
health,"Vaccine 90% EffectiveÂ in MajorÂ  COVID-19 Breakthrough. A Covid-19 vaccine being developed by Pfizer has been found to be more than 90% effective in preventing the virus,",
sports,"Sports news: Verstappen Wins First F1 Title in Last Lap Drama. Red Bull's Max Verstappen won the Formula One championship, denying Lewis Hamilton a record eighth, with a last-lap overtake to",
business,"Volvo Cars Posts 6% December Sales as Recovery Continues. Car maker Volvo Cars said on Thursday its sales grew 6% in December, marking a continued sharp recovery from the",
business,Wall Street Climbs on Stimulus Hopes. US stocks rose on Friday and the S&P 500 was on track for a second straight week of gains as,
business,War in Ukraine: Russia May Cut Gas Supplies to Europe If Oil Ban Goes Ahead. Russia has said it may close its main gas pipeline to Germany if the West goes ahead with a ban,
health,"Washing of Hands with Soap Cuts Deaths from Diarrhoea by Almost Half. As the world commemorates this year's edition of the Global Handwashing Day, Nigeria's Minister of Water Resources Engr. Suleiman Adamu",
sports,"Sports news: WCQ: Maguire Scores Late as England Beat Poland, Mantain Perfect Record in Group I. Harry Maguire smashed home a late winner as England laboured to a 2-1 victory over Poland in World Cup qualifying",
sports,Sports news: West Ham Bundle Man United Out of EFL Cup. West Ham gained revenge for Sunday's Premier League defeat against Manchester United by knocking their hosts out of the Carabao,
business,"WhatsApp Takes on Snapchat with Disappearing Photos and Videos Option. Users of Facebook Inc's WhatsApp can now send disappearing photos and videos on its platform starting this week, as it",
health,"White House Chief of Staff Contracts COVID-19. White House chief of staff Mark Meadows, who has frequently appeared at public events without wearing a mask, has been",
health,"White House Details Plans to Vaccinate 28M Children Age 5-11. Children ages 5 to 11 will soon be able to get a COVID-19 shot at their pediatrician's office, local pharmacy",
health,WHO : Natural Immunity to Slash Africa's Covid Deaths Ny 94% in 2022. Deaths on the African continent from Covid-19 are expected to fall by nearly 94 per cent in 2022 compared to,
health,WHO Approves Emergency Use of China's Sinopharm Covid Vaccine. The World Health Organization has approved the emergency use of a Covid-19 vaccine manufactured by China's Sinopharm. Friday's decision by,
health,WHO Calls for Booster Shot Pause to Vaccinate Poorer Nations. The World Health Organization (WHO) has called for a suspension on booster vaccines for Covid-19 until at least the end,
health,"WHO Cautions That 'Vaccines Not Enough to Stop Pandemic'. Although the Moderna and Pfizer vaccines appear to be a major pointer towards defeating the pandemic, WHO has warned that",
health,"WHO Declares End to Second Ebola Outbreak in Guinea. An Ebola outbreak which started in Guinea in February, infecting 16 people and killing 12, has been declared over, the",
health,WHO Expresses Concern Over Ebola Resurgence in West Africa. The World Health Organization (WHO) has expressed concern over the resurgence of Ebola in West Africa and activated response efforts.,
health,WHO Reports First Two Cases of Marburg Virus Disease in Ghana. The WHO has reported two suspected cases of Marburg Virus Disease in GhanaRead more,
health,WHO Warns That New Virus Variant Poses 'Very High' Risk. The World Health Organization warned Monday that the global risk from the omicron variant is â€œvery highâ€ based on the,
health,"WHO: Countries Need to Resist 'Vaccine Nationalism'. The World Health Organisation (WHO) on Wednesday called on countries to resist ""vaccine nationalism"", as the international community continues to",
health,"WHO: Malaria Killed Over 602,000 People in Nigeria, Others in 2021. As the world marked the World Malaria Day on Monday,, the World Health Organisation (WHO) has disclosed that no fewer",
health,WHO-led Team in Wuhan Probing Covid-19 Origins Meets Chinese Scientists. A World Health Organization-led team of experts investigating the origins of the COVID-19 pandemic has begun meeting with Chinese scientists,
health,Why You Should Try Intermittent Fasting. You're probably living under a rock if you've not heard about intermittent fasting because it's one of the most popular,
sports,Sports news: Whyte Avenges Defeat with Knockout Win Over Povetkin in Gibraltar Rematch. Dillian Whyte kept alive his hopes of a heavyweight world title shot by emphatically gaining revenge over Alexander Povetkin with,
business,"With $130trn Tied to Renewables Globally, Nigeria Walks Tight Rope in Bid for Oil Sector Investment. Nigeria's desire to continue reaping the benefits of its oil and gas resources before the world fully embraces renewables may",
business,"With Free Data, 75m MTN Subscribers Can Get THISDAY on Zigi Chatbot. In a revolutionary move bound to change Africa's media landscape, Nigeria's mosf-authoritative newspaper THISDAY will be available to potentially 75",
sports,Sports news: Wolves AnnounceÂ Bruno LageÂ as New Manager. Wolverhampton Wanderers Football ClubÂ have appointed former Benfica boss Bruno Lage as their new manager. Lage was previously assistant to Carlos,
sports,"Sports news: Wonderkid Ansu Fati Signs New Long-term Barcelona Contract with â‚¬400m Buy-out Clause. Ansu Fati has signed a new long-term contract at Barcelona which includes a â‚¬400 million (Â£367m/$468m) buy-out clause. Fati, who",
business,"World Bank to Provide Scholarship to 152,000 Girls in Katsina State. The World Bank through its Adolescent Girls Initiative for Learning and Empowerment (AGILE) project has concluded plans to give scholarships",
sports,Sports news: World Champion Tobi Amusan Defends 100m hurdles gold at Commonwealth Games. The reigning world champion and record holder successfully defended her Games title at the Alexander stadium on Sunday morning.Read more,
sports,"Sports news: World Cup: Qatar Won't Lift Stadium Alcohol Ban. Qatar's World Cup stadiums are set to be alcohol-free, with beer sales outside arenas only allowed before and after some",
health,Worry as Africa's Covid Death Rate 'Now Above Global Average'. Africa Centre for Disease Control and Prevention (Africa CDC) says the continent's Covid-19 case fatality rate is now higher than,
health,"Worsening Namibia Covid Cases 'Likely to Continue' Until August. Namibia is facing a â€œdark and sombre momentâ€ as coronavirus deaths and cases rapidly increase, the country's President Hage Geingob",
business,Yahoo Pulls out of China Over 'Challenging' Business Conditions. Yahoo has become the latest US tech company to end its presence in mainland China as tougher regulations are imposed,
sports,Sports news: Yellow Submarines Sink Red Devils: Villarreal Win Europa Final with Shootout Win over Man United. Villarreal beat Manchester United in an epic penalty shootout in the Europa League final in Poland on Wednesday night after,
sports,"Sports news: Zidane 'Almost Certain' to Leave Real Madrid at Season's End; Raul, Allegri in Line to Replace Him. The UK's Daily Mail is reporting thatÂ Zinedine Zidane will almost certainly leave Real Madrid at the end of this season,",

